mapFilename;taskFilename;step_size;row_size;col_size;num_bots;num_endpoints;last_step;num_tasks;token_id;token_name;current_step;energy system id;energy expenditure;finished_taskstime(s);
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;30;332;2496;500;GAT_P;GAT_P(Greedy);2555;E_1(R_1);76650;5000.065911;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;30;332;2496;500;GAT_P;GAT_P(GA_count);2515;E_1(R_1);75450;50047.988432;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;30;332;2496;500;GAT_P;GAT_P(GA_check);2520;E_1(R_1);75600;50046.542954;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.2.task;5000;21;35;30;332;2496;500;TP;TP[E_1(R_1)];2542;E_1(R_1);76260;5000.168024;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;30;332;999;500;GAT;GAT(Greedy);1103;E_1(R_1);33090;5000.194670;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;30;332;999;500;GAT;GAT(GA_count);1063;E_1(R_1);31890;500579.640600;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;30;332;999;500;GAT;GAT(GA_check);1084;E_1(R_1);32520;500592.240796;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;30;332;999;500;GAT_P;GAT_P(Greedy);1093;E_1(R_1);32790;5000.068045;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;30;332;999;500;GAT_P;GAT_P(GA_count);1030;E_1(R_1);30900;50059.612423;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;30;332;999;500;GAT_P;GAT_P(GA_check);1042;E_1(R_1);31260;50058.120021;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-0.5.task;5000;21;35;30;332;999;500;TP;TP[E_1(R_1)];1092;E_1(R_1);32760;5000.182515;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-1.task;5000;21;35;30;332;500;500;GAT;GAT(Greedy);573;E_1(R_1);17190;5000.317126;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-1.task;5000;21;35;30;332;500;500;GAT;GAT(GA_count);628;E_1(R_1);18840;5001924.020672;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-1.task;5000;21;35;30;332;500;500;GAT;GAT(GA_check);627;E_1(R_1);18810;5001826.258504;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-1.task;5000;21;35;30;332;500;500;GAT_P;GAT_P(Greedy);577;E_1(R_1);17310;5000.103034;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-1.task;5000;21;35;30;332;500;500;GAT_P;GAT_P(GA_count);592;E_1(R_1);17760;500558.913691;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-1.task;5000;21;35;30;332;500;500;GAT_P;GAT_P(GA_check);607;E_1(R_1);18210;500455.824385;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-1.task;5000;21;35;30;332;500;500;TP;TP[E_1(R_1)];599;E_1(R_1);17970;5000.121936;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-2.task;5000;21;35;30;332;250;500;GAT;GAT(Greedy);510;E_1(R_1);15300;5000.805261;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-2.task;5000;21;35;30;332;250;500;GAT;GAT(GA_count);545;E_1(R_1);16350;5002269.966719;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-2.task;5000;21;35;30;332;250;500;GAT;GAT(GA_check);499;E_1(R_1);14970;5002201.732690;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-2.task;5000;21;35;30;332;250;500;GAT_P;GAT_P(Greedy);527;E_1(R_1);15810;5001.081112;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-2.task;5000;21;35;30;332;250;500;GAT_P;GAT_P(GA_count);514;E_1(R_1);15420;5002263.173132;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-2.task;5000;21;35;30;332;250;500;GAT_P;GAT_P(GA_check);530;E_1(R_1);15900;5002081.152826;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-2.task;5000;21;35;30;332;250;500;TP;TP[E_1(R_1)];538;E_1(R_1);16140;5000.126166;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-5.task;5000;21;35;30;332;100;500;GAT;GAT(Greedy);471;E_1(R_1);14130;5002.436635;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-5.task;5000;21;35;30;332;100;500;GAT;GAT(GA_count);479;E_1(R_1);14370;5001563.445968;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-5.task;5000;21;35;30;332;100;500;GAT;GAT(GA_check);468;E_1(R_1);14040;5001471.622564;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-5.task;5000;21;35;30;332;100;500;GAT_P;GAT_P(Greedy);495;E_1(R_1);14850;5002.680497;
./Instances/small/kiva-30-500-5.map;./Instances/small/kiva-5.task;5000;21;35;30;332;100;500;GAT_P;GAT_P(GA_count);509;E_1(R_1);15270;5001510.608735;
